Escenario,Altura,Presion,Presion_pred2
0,1801.51,28.91,22.444208144796377
0,1801.51,29.36,22.444208144796377
0,1801.5,29.8,24.296799999999998
0,1801.58,21.08,21.28951219512193
0,1801.47,32.29,28.920380952380896
0,1801.48,32.32,26.03731958762887
0,1801.5,25.57,24.296799999999998
0,1801.46,26.25,28.920380952380896
0,1801.52,26.07,22.444208144796377
0,1801.48,33.54,26.03731958762887
0,1801.47,29.98,28.920380952380896
0,1801.54,20.83,22.444208144796377
0,1801.55,20.73,21.888545454545458
0,1801.58,20.99,21.28951219512193
0,1801.53,20.79,22.444208144796377
0,1801.76,20.76,20.630571428571415
0,1801.77,20.53,20.630571428571415
0,1801.71,21.48,21.28951219512193
0,1801.73,21.09,21.28951219512193
0,1801.7,21.37,21.28951219512193
0,1801.66,21.51,21.28951219512193
0,1801.61,21.35,21.28951219512193
0,1801.58,20.99,21.28951219512193
0,1801.56,21.76,21.888545454545458
0,1801.55,22.74,21.888545454545458
0,1801.51,26.18,22.444208144796377
0,1801.53,24.68,22.444208144796377
0,1801.51,29.57,22.444208144796377
0,1801.49,32.76,25.666219512195113
0,1801.49,32.41,25.666219512195113
0,1801.48,32.77,26.03731958762887
0,1801.57,21.1,21.888545454545458
0,1801.49,25.95,25.666219512195113
0,1801.49,32.15,25.666219512195113
0,1801.49,29.37,25.666219512195113
0,1801.49,33.64,25.666219512195113
0,1801.5,32.18,24.296799999999998
0,1801.49,32.62,25.666219512195113
0,1801.49,32.88,25.666219512195113
0,1801.49,33.15,25.666219512195113
0,1801.48,32.52,26.03731958762887
0,1801.48,32.5,26.03731958762887
0,1801.47,31.42,28.920380952380896
0,1801.47,31.5,28.920380952380896
0,1801.47,31.75,28.920380952380896
0,1801.47,31.56,28.920380952380896
0,1801.47,30.49,28.920380952380896
0,1801.47,30.44,28.920380952380896
0,1801.47,30.07,28.920380952380896
0,1801.47,30.15,28.920380952380896
0,1801.47,29.96,28.920380952380896
0,1801.47,30.67,28.920380952380896
0,1801.47,30.32,28.920380952380896
0,1801.47,30.3,28.920380952380896
0,1801.47,29.73,28.920380952380896
0,1801.47,30.06,28.920380952380896
0,1801.47,29.92,28.920380952380896
0,1801.48,32.77,26.03731958762887
0,1801.55,20.16,21.888545454545458
0,1801.55,20.15,21.888545454545458
0,1801.55,20.16,21.888545454545458
0,1801.55,20.15,21.888545454545458
0,1801.56,21.73,21.888545454545458
0,1801.49,25.78,25.666219512195113
0,1801.48,31.2,26.03731958762887
0,1801.55,20.67,21.888545454545458
0,1801.54,22.03,22.444208144796377
0,1801.54,22.95,22.444208144796377
0,1801.54,24.03,22.444208144796377
0,1801.54,24.4,22.444208144796377
0,1801.5,31.39,24.296799999999998
0,1801.47,32.56,28.920380952380896
0,1801.47,32.62,28.920380952380896
0,1801.49,32.71,25.666219512195113
0,1801.49,32.74,25.666219512195113
