ID,X,Y,Longitud_WGS84,Latitud_WGS84,Longitud_NAD27,Latitud_NAD27
1153,271617.87,2227039.47,-101.18521832889303,20.13006768751096,-101.1849649780393,20.128859752986028
1154,271618.94,2227045.07,-101.18520880198518,20.130118382097418,-101.18495545115456,20.12891044767269
1313,271166.62,2226841.12,-101.18950753971006,20.1282230594739,-101.18925424000976,20.12701511097991
1268,271522.65,2226623.54,-101.18607646158809,20.12630057005907,-101.1858231109987,20.125092627693864
5019,271612.26,2227696.64,-101.18535445323866,20.13600123653093,-101.18510112159346,20.134793310455464
404,271443.53,2227435.73,-101.18693487159614,20.133625220137937,-101.18668155382376,20.132417286399026
1248,271843.74,2226944.53,-101.18304700314938,20.12923714223999,-101.1827936212217,20.12802921216437
5011,271861.83,2226963.49,-101.18287643185438,20.129410492474104,-101.18262304818548,20.12820256310224
5010,271590.3,2226895.32,-101.18546381880181,20.12876275125884,-101.18521046735697,20.12755481415379
10020,271609.11,2227493.33,-101.18535904617099,20.13416498383615,-101.18510570919688,20.132957055024264
10059,270966.6,2227182.41,-101.19146274612787,20.131281116547697,-101.19120948119291,20.130073167470258
10061,271193.81,2226641.83,-101.18922254184149,20.12642671255808,-101.18896923310965,20.1252187621434
10062,271424.32,2226621.26,-101.18701623200994,20.12626832133693,-101.1867628937188,20.12506037646381
10063,271520.41,2226613.64,-101.18609663382328,20.12621090793172,-101.18584328323684,20.12500296538053
10082,271906.1,2226588.56,-101.18240620438947,20.12603012495446,-101.18215280460582,20.124822191791583
5763,271923.72,2226581.81,-101.18223690729633,20.125971258000867,-101.18198350510744,20.12476332519339
5762,271951.02,2226579.36,-101.18197560602015,20.125952365291198,-101.18172220032996,20.124744433139195
5761,271802.73,2226592.9,-101.183394989445,20.126057077519754,-101.18314160277998,20.12484914181007
5760,271864.94,2226586.9,-101.18279949549063,20.126010263110906,-101.18254610083528,20.124802328889647
5750,271782.31,2226594.88,-101.18359045754929,20.126072538769133,-101.18333707350732,20.124864602570995
5749,271701.69,2226603.31,-101.1843622602516,20.12613911241695,-101.18410888658296,20.12493117429819
5748,271601.97,2226610.79,-101.18531654437338,20.126194840568495,-101.18506318345264,20.124986900035186
1265,271521.48,2226617.82,-101.18608692906734,20.126248780002243,-101.18583357846404,20.12504083753271
1274,271534.93,2226683.38,-101.18596657292983,20.126842378457003,-101.18571322248091,20.125634437184143
1276,271556.49,2226781.18,-101.18577272862517,20.127728064091333,-101.18551937821849,20.126520124641228
5747,271607.62,2227016.96,-101.1853134985496,20.129863208205236,-101.18506014835108,20.12865527312761
5746,271581.83,2226904.09,-101.18554589592289,20.12884093991767,-101.18529254578992,20.12763300271387
1158,271612.98,2227045.87,-101.18526588275034,20.13012489959187,-101.18501253269169,20.128916965027408
1137,271667.54,2227319.95,-101.18477865538462,20.13260629700467,-101.18452530618072,20.131398367399047
5744,271655.26,2227243.41,-101.18488645447059,20.13191368865163,-101.1846331046562,20.13070575773581
364,271480.8,2227544.24,-101.18659217478063,20.134609480966734,-101.1863388553772,20.133401549585567
5709,271523.82,2226629.16,-101.18606598155155,20.12635145712014,-101.18581263097325,20.12514351485795
5685,272138.7,2226898.4,-101.18022128175699,20.128855493063146,-101.17996786144174,20.12764756981284
1175,272059.77,2227063.41,-101.1809965531865,20.130336194875433,-101.18074314743804,20.12912827179653
1191,272136.2,2226933.82,-101.18024961757416,20.12917503957388,-101.17999619856944,20.127967116724133
1176,271856.27,2227114.0,-101.18294845687146,20.130768934933812,-101.182695078137,20.12956100739066
1166,271636.41,2227169.33,-101.18505737433415,20.131242515220038,-101.18480402480476,20.130034582860528
1165,271655.15,2227164.55,-101.18487761010378,20.13120157322094,-101.18462425808322,20.1299936412712
1182,271729.75,2227145.49,-101.18416200325612,20.131038302444523,-101.183908641318,20.12983037212544
1179,271787.92,2227130.76,-101.1836040199959,20.130912182289116,-101.18335065032822,20.12970425324312
401,271404.31,2227458.97,-101.18731276080962,20.133830422202802,-101.18705944862415,20.132622487778757
400,271395.24,2227451.74,-101.18739856770348,20.1337640593947,-101.18714525645498,20.13255612464746
1103,271257.76,2227330.25,-101.18869769456762,20.132650692891097,-101.18844439718583,20.131442753089427
1125,271254.92,2227331.42,-101.1887249937475,20.132660920696193,-101.18847169675584,20.131452980838205
1128,271267.15,2227342.68,-101.18860948315117,20.13276404987914,-101.18835618493875,20.13155611047673
1122,271236.21,2227336.73,-101.18890454009983,20.132706647938356,-101.18865124561056,20.13149870767793
1100,271067.31,2227350.68,-101.19052107927432,20.13281255128821,-101.19026780641754,20.131604606950084
1102,271084.79,2227350.0,-101.19035387453242,20.132808488133477,-101.19010059945838,20.1316005442274
1049,270887.75,2227354.73,-101.19223828836664,20.132827775698306,-101.19198503820354,20.13161982688306
5678,270955.79,2227353.1,-101.19158758090394,20.132821147754175,-101.191334322139,20.131613200634327
1051,270883.22,2227338.56,-101.1922795616589,20.132681223281352,-101.19202631160962,20.131473274140568
1107,271123.12,2227181.42,-101.1899662121436,20.131290777592998,-101.18971292749956,20.13008283245068
1112,271085.0,2227133.29,-101.19032460388347,20.13085163836411,-101.19007132267664,20.129643691631287
