Sector,Escenario,Hora,IdNudo,Demanda,Altura,Presion,Calidad,Presion_cat,Cluster,Presion_pred,Presion_real_cat,Presion_pred_cat
Norte,0,00:00:00,5678,0.05,1801.47,30.15,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1051,0.03,1801.47,29.96,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1107,0.03,1801.47,30.67,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1112,0.02,1801.47,30.32,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1110,0.01,1801.47,30.3,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1059,0.04,1801.47,29.73,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1113,0.03,1801.47,30.06,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1077,0.02,1801.47,29.92,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,363,0.03,1801.48,32.77,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1305,0.0,1801.55,20.16,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1304,0.04,1801.55,20.15,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1306,0.05,1801.55,20.16,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1302,0.07,1801.55,20.15,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1272,0.02,1801.56,21.73,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1187,0.16,1801.49,25.78,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1150,0.16,1801.48,31.2,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1297,0.07,1801.55,20.67,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1293,0.06,1801.54,22.03,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1286,0.06,1801.54,22.95,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1279,0.04,1801.54,24.03,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1281,0.05,1801.54,24.4,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1149,0.12,1801.5,31.39,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5621,0.03,1801.47,32.56,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5620,0.04,1801.47,32.62,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,355,0.04,1801.49,32.71,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1139,0.06,1801.49,32.74,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5614,0.02,1801.49,32.76,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1169,0.07,1801.49,32.79,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1164,0.08,1801.49,32.51,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5613,0.05,1801.48,32.67,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1143,0.06,1801.48,32.53,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1145,0.03,1801.48,32.62,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,362,0.07,1801.48,32.78,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1117,0.07,1801.47,30.1,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5604,0.05,1801.48,30.83,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5603,0.04,1801.48,31.26,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1340,0.03,1801.54,29.2,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1334,0.05,1801.54,22.26,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1326,0.07,1801.54,20.35,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1257,0.06,1801.55,21.36,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1252,0.08,1801.53,21.44,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1240,0.09,1801.53,21.36,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1223,0.04,1801.52,19.74,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5538,0.05,1801.47,30.04,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5537,0.03,1801.47,29.72,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1284,0.02,1801.48,31.24,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5533,0.02,1801.54,21.0,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5523,0.0,1801.47,29.46,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1246,0.03,1801.5,26.1,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1196,0.04,1801.43,27.21,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1207,0.09,1801.43,25.64,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1197,0.04,1801.43,27.68,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1172,0.12,1801.48,33.85,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1244,0.09,1801.51,24.84,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1245,0.05,1801.5,25.91,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1225,0.03,1801.5,24.8,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1243,0.03,1801.52,23.29,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1226,0.05,1801.52,23.57,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1232,0.02,1801.52,22.09,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1228,0.03,1801.52,22.9,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1230,0.01,1801.52,22.55,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1231,0.01,1801.52,22.63,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1229,0.01,1801.52,22.6,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5506,0.01,1801.52,23.04,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1224,0.05,1801.52,23.34,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1324,0.02,1801.55,20.7,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1308,0.06,1801.54,20.68,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1323,0.05,1801.54,22.13,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1255,0.06,1801.55,21.98,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1250,0.11,1801.52,22.83,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1249,0.11,1801.51,23.93,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1186,0.01,1801.51,26.1,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1292,0.05,1801.54,21.38,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1291,0.0,1801.54,21.15,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1289,0.02,1801.54,23.31,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1288,0.01,1801.54,24.98,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1184,0.03,1801.51,25.07,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,347,0.06,1801.47,33.95,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,351,0.04,1801.47,34.22,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1134,0.11,1801.49,32.82,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1140,0.02,1801.49,32.79,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5495,0.08,1801.47,33.0,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5494,0.01,1801.49,31.08,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5493,0.01,1801.49,31.01,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1161,0.03,1801.5,31.01,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1104,0.06,1801.47,30.47,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1318,0.06,1801.47,29.74,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1319,0.01,1801.47,29.39,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5484,0.0,1801.52,19.36,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1144,0.06,1801.47,32.7,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1131,0.06,1801.47,31.72,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1130,0.06,1801.47,31.57,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5478,0.0,1801.56,21.78,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5345,0.11,1801.57,26.19,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5344,0.11,1801.57,26.03,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5343,0.11,1801.57,21.09,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5342,0.03,1801.52,25.97,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5314,0.01,1801.46,26.11,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5313,0.0,1801.47,32.66,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5312,0.0,1801.47,32.86,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5311,0.1,1801.47,32.72,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1315,0.05,1801.5,29.76,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5291,0.01,1801.5,30.02,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1312,0.08,1801.5,29.58,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1335,0.05,1801.53,22.82,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1336,0.01,1801.53,21.95,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1253,0.11,1801.52,23.91,0.0,Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1142,0.02,1801.48,31.68,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1109,0.01,1801.47,30.66,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1119,0.09,1801.47,30.69,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1093,0.06,1801.47,29.63,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1063,0.02,1801.47,29.46,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5289,0.01,1801.47,29.99,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,349,0.04,1801.47,32.64,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,5264,0.02,1801.48,32.78,0.0,Muy Alta,1,12.47568311195446,Alta,Alta
Norte,0,00:00:00,1221,0.04,1801.52,19.96,0.0,Alta,1,12.47568311195446,Alta,Alta
