Sector,Escenario,Hora,IdTubo,Caudal,Velocidad,PerUni,Estado
Norte,E2,00:00:00,76759,-0.65,0.15,0.39,0.0
Norte,E2,00:00:00,76793,-0.00,0.00,0.00,0.0
Norte,E2,00:00:00,76849,0.03,0.01,0.00,0.0
Norte,E2,00:00:00,7684B,0.36,0.08,0.13,0.0
Norte,E2,00:00:00,7684E,-0.22,0.05,0.00,0.0
Norte,E2,00:00:00,76850,0.04,0.01,0.00,0.0
Norte,E2,00:00:00,76858,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,76863,-0.02,0.00,0.00,0.0
Norte,E2,00:00:00,76865,-0.15,0.03,0.03,0.0
Norte,E2,00:00:00,76868,0.00,0.00,0.00,0.0
Norte,E2,00:00:00,76869,0.14,0.03,0.02,0.0
Norte,E2,00:00:00,768A5,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,768A6,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,768A7,-0.06,0.01,0.00,0.0
Norte,E2,00:00:00,768A8,0.02,0.01,0.00,0.0
Norte,E2,00:00:00,768A9,0.10,0.02,0.01,0.0
Norte,E2,00:00:00,768AA,-0.03,0.01,0.00,0.0
Norte,E2,00:00:00,768AB,-0.02,0.00,0.00,0.0
Norte,E2,00:00:00,768AC,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,768AD,0.00,0.00,0.00,0.0
Norte,E2,00:00:00,768AE,0.06,0.01,0.02,0.0
Norte,E2,00:00:00,768AF,0.51,0.12,0.22,0.0
Norte,E2,00:00:00,768B7,0.05,0.01,0.00,0.0
Norte,E2,00:00:00,768BA,-0.42,0.10,0.17,0.0
Norte,E2,00:00:00,768BB,0.03,0.01,0.00,0.0
Norte,E2,00:00:00,768BC,-0.01,0.00,0.00,0.0
Norte,E2,00:00:00,768BD,-0.01,0.00,0.00,0.0
Norte,E2,00:00:00,768BE,-0.09,0.02,0.01,0.0
Norte,E2,00:00:00,768BF,-0.02,0.00,0.00,0.0
Norte,E2,00:00:00,768C0,0.00,0.00,0.00,0.0
Norte,E2,00:00:00,768C1,0.02,0.00,0.00,0.0
Norte,E2,00:00:00,768C2,0.38,0.09,0.14,0.0
Norte,E2,00:00:00,768C3,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,768C4,0.40,0.09,0.15,0.0
Norte,E2,00:00:00,768C5,-0.28,0.06,0.08,0.0
Norte,E2,00:00:00,768C6,0.32,0.07,0.10,0.0
Norte,E2,00:00:00,768C7,0.20,0.04,0.04,0.0
Norte,E2,00:00:00,768C8,-0.27,0.06,0.07,0.0
Norte,E2,00:00:00,768C9,0.44,0.10,0.18,0.0
Norte,E2,00:00:00,768CA,-0.15,0.03,0.03,0.0
Norte,E2,00:00:00,768CB,-0.24,0.05,0.06,0.0
Norte,E2,00:00:00,768D0,-0.04,0.01,0.00,0.0
Norte,E2,00:00:00,768D5,0.00,0.00,0.00,0.0
Norte,E2,00:00:00,768D6,0.09,0.02,0.01,0.0
Norte,E2,00:00:00,768D7,-0.14,0.03,0.02,0.0
Norte,E2,00:00:00,768D8,0.23,0.05,0.05,0.0
Norte,E2,00:00:00,768D9,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,768DA,0.02,0.00,0.00,0.0
Norte,E2,00:00:00,76972,0.14,0.03,0.02,0.0
Norte,E2,00:00:00,76973,0.08,0.02,0.01,0.0
Norte,E2,00:00:00,76974,0.08,0.02,0.01,0.0
Norte,E2,00:00:00,76975,-0.10,0.02,0.02,0.0
Norte,E2,00:00:00,76976,0.03,0.01,0.00,0.0
Norte,E2,00:00:00,76977,0.02,0.00,0.00,0.0
Norte,E2,00:00:00,76978,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,76979,0.03,0.01,0.00,0.0
Norte,E2,00:00:00,7697A,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,7697B,-0.06,0.01,0.01,0.0
Norte,E2,00:00:00,7697C,0.29,0.06,0.09,0.0
Norte,E2,00:00:00,7697D,0.07,0.02,0.01,0.0
Norte,E2,00:00:00,7697E,0.03,0.01,0.00,0.0
Norte,E2,00:00:00,7697F,0.32,0.07,0.10,0.0
Norte,E2,00:00:00,76980,0.04,0.01,0.00,0.0
Norte,E2,00:00:00,76981,-0.23,0.05,0.05,0.0
Norte,E2,00:00:00,76982,-0.05,0.01,0.00,0.0
Norte,E2,00:00:00,76983,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,76984,0.45,0.10,0.19,0.0
Norte,E2,00:00:00,76985,0.04,0.01,0.00,0.0
Norte,E2,00:00:00,76986,0.22,0.05,0.05,0.0
Norte,E2,00:00:00,76988,0.04,0.01,0.00,0.0
Norte,E2,00:00:00,7698B,0.03,0.01,0.00,0.0
Norte,E2,00:00:00,76C38,-0.00,0.00,0.00,0.0
Norte,E2,00:00:00,76C3F,-0.42,0.05,0.04,0.0
Norte,E2,00:00:00,76C41,0.03,0.00,0.00,0.0
Norte,E2,00:00:00,76C46,-0.00,0.00,0.00,0.0
Norte,E2,00:00:00,76C6A,0.75,0.10,0.12,0.0
Norte,E2,00:00:00,76CE6,0.18,0.02,0.07,0.0
Norte,E2,00:00:00,76CE7,0.18,0.02,0.00,0.0
Norte,E2,00:00:00,76D0F,0.38,0.05,0.05,0.0
Norte,E2,00:00:00,76D22,-0.22,0.03,0.01,0.0
Norte,E2,00:00:00,76D23,0.61,0.08,0.08,0.0
Norte,E2,00:00:00,76D25,-0.97,0.12,0.19,0.0
Norte,E2,00:00:00,76D27,-1.18,0.15,0.28,0.0
Norte,E2,00:00:00,76D28,-0.00,0.00,0.00,0.0
Norte,E2,00:00:00,76D29,1.05,0.13,0.23,0.0
Norte,E2,00:00:00,76D2B,-0.00,0.00,0.00,0.0
Norte,E2,00:00:00,76D2E,0.57,0.07,0.07,0.0
Norte,E2,00:00:00,76D2F,0.51,0.06,0.06,0.0
Norte,E2,00:00:00,76D31,0.47,0.06,0.05,0.0
Norte,E2,00:00:00,76D33,-0.03,0.00,0.00,0.0
Norte,E2,00:00:00,76D72,0.04,0.00,0.00,0.0
Norte,E2,00:00:00,76D76,-0.37,0.05,0.03,0.0
Norte,E2,00:00:00,76D7A,-0.25,0.03,0.02,0.0
Norte,E2,00:00:00,76D7B,-0.10,0.01,0.00,0.0
Norte,E2,00:00:00,76D7C,0.54,0.07,0.07,0.0
Norte,E2,00:00:00,76D7E,-0.06,0.01,0.00,0.0
Norte,E2,00:00:00,76D7F,-0.12,0.02,0.01,0.0
Norte,E2,00:00:00,76D95,-0.15,0.02,0.01,0.0
Norte,E2,00:00:00,76D96,-0.44,0.06,0.04,0.0
Norte,E2,00:00:00,76D97,-0.75,0.10,0.13,0.0
Norte,E2,00:00:00,76D98,-0.74,0.09,0.12,0.0
Norte,E2,00:00:00,76D99,-0.26,0.03,0.02,0.0
Norte,E2,00:00:00,76D9A,-0.24,0.03,0.01,0.0
Norte,E2,00:00:00,76D9B,-0.06,0.01,0.00,0.0
Norte,E2,00:00:00,76D9D,-0.09,0.01,0.00,0.0
Norte,E2,00:00:00,76DA5,-0.12,0.02,0.00,0.0
Norte,E2,00:00:00,76DA6,-0.15,0.02,0.01,0.0
Norte,E2,00:00:00,76DA9,0.33,0.04,0.03,0.0
Norte,E2,00:00:00,76DAA,-0.02,0.00,0.00,0.0
Norte,E2,00:00:00,76DAB,-0.40,0.05,0.04,0.0
Norte,E2,00:00:00,76DAC,-0.47,0.06,0.05,0.0
Norte,E2,00:00:00,76DAD,-0.68,0.09,0.10,0.0
Norte,E2,00:00:00,76DAE,-0.36,0.05,0.03,0.0
Norte,E2,00:00:00,76DAF,-0.41,0.05,0.04,0.0
Norte,E2,00:00:00,76DB0,0.45,0.06,0.05,0.0
Norte,E2,00:00:00,76DB1,0.72,0.09,0.11,0.0
Norte,E2,00:00:00,76DB3,-0.01,0.00,0.00,0.0
Norte,E2,00:00:00,76DBB,0.07,0.01,0.00,0.0
Norte,E2,00:00:00,76DBC,0.07,0.01,0.00,0.0
Norte,E2,00:00:00,76F3C,-1.77,0.10,0.07,0.0
Norte,E2,00:00:00,76F70,0.03,0.00,0.00,0.0
Norte,E2,00:00:00,76F71,0.02,0.00,0.00,0.0
Norte,E2,00:00:00,76F76,-0.35,0.02,0.00,0.0
Norte,E2,00:00:00,76F77,-0.45,0.03,0.01,0.0
Norte,E2,00:00:00,76F78,0.06,0.00,0.00,0.0
Norte,E2,00:00:00,76F79,0.05,0.00,0.00,0.0
Norte,E2,00:00:00,76F7A,-0.21,0.01,0.00,0.0
Norte,E2,00:00:00,76F7B,-0.28,0.02,0.00,0.0
Norte,E2,00:00:00,76F7C,0.21,0.01,0.01,0.0
Norte,E2,00:00:00,76F7D,-0.24,0.01,0.00,0.0
Norte,E2,00:00:00,76F7E,-0.32,0.02,0.00,0.0
Norte,E2,00:00:00,76F7F,0.00,0.00,0.00,0.0
Norte,E2,00:00:00,76F80,-0.49,0.03,0.01,0.0
Norte,E2,00:00:00,76F81,-0.89,0.05,0.02,0.0
Norte,E2,00:00:00,76F82,0.89,0.05,0.00,0.0
Norte,E2,00:00:00,76F83,1.03,0.06,0.03,0.0
Norte,E2,00:00:00,76F8A,0.98,0.06,0.03,0.0
Norte,E2,00:00:00,76F8B,1.03,0.06,0.03,0.0
Norte,E2,00:00:00,76F8C,1.08,0.06,0.03,0.0
Norte,E2,00:00:00,76F8D,1.86,0.10,0.09,0.0
Norte,E2,00:00:00,76FB7,0.16,0.01,0.00,0.0
Norte,E2,00:00:00,76FB8,0.07,0.00,0.00,0.0
Norte,E2,00:00:00,76FB9,0.01,0.00,0.00,0.0
Norte,E2,00:00:00,7704F,7.08,0.23,0.29,0.0
Norte,E2,00:00:00,770AF,-1.83,0.06,0.02,0.0
Norte,E2,00:00:00,770B8,-1.93,0.06,0.02,0.0
Norte,E2,00:00:00,770B9,-2.40,0.08,0.03,0.0
Norte,E2,00:00:00,770BB,-4.88,0.16,0.13,0.0
Norte,E2,00:00:00,770BC,-4.98,0.16,0.14,0.0
Norte,E2,00:00:00,770BD,-4.91,0.16,0.13,0.0
Norte,E2,00:00:00,770BE,5.48,0.17,0.16,0.0
Norte,E2,00:00:00,770BF,-6.64,0.21,0.23,0.0
Norte,E2,00:00:00,770C1,-9.39,0.30,0.44,0.0
Norte,E2,00:00:00,770C2,-9.43,0.30,0.45,0.0
Norte,E2,00:00:00,770C3,-9.48,0.30,0.45,0.0
Norte,E2,00:00:00,770C4,-9.51,0.30,0.46,0.0
Norte,E2,00:00:00,770C5,-9.56,0.30,0.46,0.0
Norte,E2,00:00:00,770DF,-9.53,0.30,0.46,0.0
Norte,E2,00:00:00,770E0,-9.58,0.31,0.46,0.0
Norte,E2,00:00:00,84C73,-0.20,0.03,0.01,0.0
Norte,E2,00:00:00,86772,0.07,0.01,0.01,0.0
Norte,E2,00:00:00,BB7E5,0.02,0.00,0.00,0.0
