Sector,Escenario,Hora,IdTubo,Caudal,Velocidad,PerUni,Estado
Sur,E0,00:00:00,76DB6,-0.26,0.03,0.02,0.0
Sur,E0,00:00:00,76DB7,0.06,0.01,0.00,0.0
Sur,E0,00:00:00,76DB8,0.03,0.00,0.00,0.0
Sur,E0,00:00:00,76DB9,-0.51,0.07,0.06,0.0
Sur,E0,00:00:00,76DBA,0.38,0.05,0.03,0.0
Sur,E0,00:00:00,76DC1,-0.04,0.01,0.00,0.0
Sur,E0,00:00:00,76DC2,0.16,0.02,0.01,0.0
Sur,E0,00:00:00,76DC3,2.54,0.32,1.15,0.0
Sur,E0,00:00:00,76DC4,-2.03,0.26,0.76,0.0
Sur,E0,00:00:00,76DC5,-1.97,0.25,0.73,0.0
Sur,E0,00:00:00,76DC6,2.34,0.30,0.99,0.0
Sur,E0,00:00:00,76DC7,-2.14,0.27,0.84,0.0
Sur,E0,00:00:00,76DC8,0.07,0.01,0.00,0.0
Sur,E0,00:00:00,76DCA,-0.00,0.00,0.00,0.0
Sur,E0,00:00:00,76DCB,-0.00,0.00,0.00,0.0
Sur,E0,00:00:00,76DCD,1.88,0.24,0.66,0.0
Sur,E0,00:00:00,76DCE,1.77,0.23,0.59,0.0
Sur,E0,00:00:00,76DCF,1.69,0.22,0.54,0.0
Sur,E0,00:00:00,76DD0,1.61,0.21,0.50,0.0
Sur,E0,00:00:00,76DD1,0.03,0.00,0.00,0.0
Sur,E0,00:00:00,76DD9,-0.17,0.02,0.01,0.0
Sur,E0,00:00:00,76DDA,-0.21,0.03,0.01,0.0
Sur,E0,00:00:00,76DDC,-0.12,0.01,0.00,0.0
Sur,E0,00:00:00,76DDD,0.02,0.00,0.00,0.0
Sur,E0,00:00:00,76EDB,0.73,0.09,0.12,0.0
Sur,E0,00:00:00,76F03,-1.31,0.07,0.06,0.0
Sur,E0,00:00:00,76F07,7.79,0.44,1.27,0.0
Sur,E0,00:00:00,76F0A,-7.81,0.44,1.28,0.0
Sur,E0,00:00:00,76F0B,7.87,0.45,1.30,0.0
Sur,E0,00:00:00,76F0C,-7.95,0.45,1.33,0.0
Sur,E0,00:00:00,76F10,-0.53,0.03,0.01,0.0
Sur,E0,00:00:00,76F11,0.55,0.03,0.01,0.0
Sur,E0,00:00:00,76F1C,0.74,0.04,0.05,0.0
Sur,E0,00:00:00,76F1D,-0.74,0.04,0.00,0.0
Sur,E0,00:00:00,76F5A,-0.03,0.00,0.00,0.0
Sur,E0,00:00:00,76F8E,-0.33,0.02,0.00,0.0
Sur,E0,00:00:00,76F8F,-0.61,0.03,0.01,0.0
Sur,E0,00:00:00,76F90,-2.21,0.13,0.12,0.0
Sur,E0,00:00:00,76F91,1.25,0.07,0.04,0.0
Sur,E0,00:00:00,76F92,-1.12,0.06,0.03,0.0
Sur,E0,00:00:00,76F93,0.46,0.03,0.01,0.0
Sur,E0,00:00:00,76F9A,0.06,0.00,0.00,0.0
Sur,E0,00:00:00,76F9B,-2.25,0.13,0.13,0.0
Sur,E0,00:00:00,76F9C,2.26,0.13,0.13,0.0
Sur,E0,00:00:00,76F9D,-2.67,0.15,0.18,0.0
Sur,E0,00:00:00,76F9E,-3.92,0.22,0.36,0.0
Sur,E0,00:00:00,76F9F,-4.45,0.25,0.45,0.0
Sur,E0,00:00:00,76FA0,-4.46,0.25,0.46,0.0
Sur,E0,00:00:00,76FA1,-4.47,0.25,0.46,0.0
Sur,E0,00:00:00,76FA2,-4.79,0.27,0.52,0.0
Sur,E0,00:00:00,76FA3,-5.26,0.30,0.62,0.0
Sur,E0,00:00:00,76FA4,1.35,0.08,0.05,0.0
Sur,E0,00:00:00,76FB6,0.15,0.01,0.00,0.0
Sur,E0,00:00:00,84C72,-0.36,0.05,0.03,0.0
Sur,E0,00:00:00,84C75,-0.62,0.08,0.08,0.0
Sur,E0,00:00:00,867F7,-0.59,0.07,0.07,0.0
Sur,E0,00:00:00,86814,-0.47,0.06,0.05,0.0
Sur,E0,00:00:00,8682B,0.56,0.07,0.07,0.0
