Sector,Escenario,Hora,IdTubo,Caudal,Velocidad,PerUni,Estado
Sur,E2,0,768D1,0.63,0.14,0.36
Sur,E2,0,768D2,0.18,0.04,0.04
Sur,E2,0,768D3,-0.36,0.08,0.12
Sur,E2,0,768D4,0.22,0.05,0.05
Sur,E2,0,768F1,0.03,0.01,0.00
Sur,E2,0,768F2,1.00,0.23,0.84
Sur,E2,0,768F3,0.78,0.18,0.53
Sur,E2,0,768F4,-0.01,0.00,0.00
Sur,E2,0,768F5,0.25,0.06,0.06
Sur,E2,0,768F6,-0.14,0.03,0.01
Sur,E2,0,768F7,0.01,0.00,0.00
Sur,E2,0,768F8,0.87,0.20,0.64
Sur,E2,0,768F9,-0.33,0.07,0.11
Sur,E2,0,768FA,1.01,0.23,0.86
Sur,E2,0,768FB,0.41,0.09,0.16
Sur,E2,0,768FC,0.45,0.10,0.19
Sur,E2,0,768FD,0.40,0.09,0.15
Sur,E2,0,768FE,-0.36,0.08,0.12
Sur,E2,0,768FF,-0.33,0.07,0.10
Sur,E2,0,76900,-0.13,0.03,0.02
Sur,E2,0,76901,0.71,0.16,0.44
Sur,E2,0,76903,-1.20,0.27,1.18
Sur,E2,0,76904,0.39,0.09,0.15
Sur,E2,0,76905,0.11,0.03,0.01
Sur,E2,0,76906,-0.49,0.11,0.22
Sur,E2,0,76907,0.42,0.10,0.16
Sur,E2,0,76908,0.63,0.14,0.36
Sur,E2,0,76909,-0.04,0.01,0.00
Sur,E2,0,7690A,-0.05,0.01,0.00
Sur,E2,0,7690B,-2.26,0.51,3.79
Sur,E2,0,7690C,1.63,0.37,2.05
Sur,E2,0,7690D,1.91,0.43,2.78
Sur,E2,0,7690E,-0.62,0.14,0.34
Sur,E2,0,7690F,1.19,0.27,1.16
Sur,E2,0,76911,0.18,0.04,0.03
Sur,E2,0,76912,0.84,0.19,0.60
Sur,E2,0,76913,-0.16,0.04,0.03
Sur,E2,0,76914,0.82,0.19,0.58
Sur,E2,0,76915,-0.41,0.09,0.16
Sur,E2,0,76916,1.00,0.23,0.84
