Sector,Escenario,Hora,IdTubo,Caudal,Velocidad,PerUni,Estado
Sur,E1,00:00,10114F,-0.06,0.00,0.00
Sur,E1,00:00,102E33,1.53,0.35,1.83
Sur,E1,00:00,102E34,1.38,0.31,1.52
Sur,E1,00:00,10452C,0.15,0.04,0.03
Sur,E1,00:00,1085B4,-0.51,0.06,0.06
Sur,E1,00:00,111CAC,0.31,0.16,0.68
Sur,E1,00:00,114C09,0.04,0.01,0.00
Sur,E1,00:00,116351,1.52,0.34,1.82
Sur,E1,00:00,119354,0.26,0.06,0.07
Sur,E1,00:00,11C5B4,9.00,0.51,1.67
Sur,E1,00:00,11C71F,39.46,2.23,25.80
Sur,E1,00:00,11D2EE,0.17,0.04,0.03
Sur,E1,00:00,11E1F6,-0.88,0.45,4.75
Sur,E1,00:00,16169531,0.15,0.08,0.17
Sur,E1,00:00,3397,0.07,0.02,0.01
Sur,E1,00:00,33E9,-4.39,0.99,12.91
Sur,E1,00:00,33EC,-0.15,0.03,0.02
Sur,E1,00:00,33F5,0.09,0.02,0.01
Sur,E1,00:00,33F7,0.21,0.05,0.05
Sur,E1,00:00,33FF,0.28,0.06,0.08
Sur,E1,00:00,340A,-1.15,0.26,1.09
Sur,E1,00:00,3445,0.04,0.01,0.00
Sur,E1,00:00,3679,0.07,0.02,0.00
Sur,E1,00:00,3AB6,-10.43,1.33,15.81
Sur,E1,00:00,3AC1,9.78,1.24,14.02
Sur,E1,00:00,3C923,1.93,0.25,0.69
Sur,E1,00:00,68159,3.25,0.74,7.42
Sur,E1,00:00,68536,-0.01,0.00,0.00
Sur,E1,00:00,68544,-39.51,2.24,25.83
Sur,E1,00:00,68E7C,-39.59,2.24,25.94
Sur,E1,00:00,690BD,-39.67,2.25,26.04
Sur,E1,00:00,690CC,-39.72,2.25,26.09
Sur,E1,00:00,691C4,0.12,0.02,0.00
Sur,E1,00:00,69366,-0.24,0.03,0.01
Sur,E1,00:00,69393,0.64,0.15,0.37
Sur,E1,00:00,6939C,0.26,0.06,0.00
Sur,E1,00:00,693BE,-0.24,0.06,0.06
Sur,E1,00:00,76306,0.16,0.08,0.21
Sur,E1,00:00,76307,0.05,0.02,0.02
Sur,E1,00:00,76308,-0.06,0.03,0.03
Sur,E1,00:00,76309,0.15,0.08,0.18
Sur,E1,00:00,7630A,-0.16,0.08,0.20
Sur,E1,00:00,7630B,-0.06,0.03,0.03
Sur,E1,00:00,7630C,0.79,0.40,3.89
Sur,E1,00:00,7630D,0.55,0.28,1.97
Sur,E1,00:00,7630E,-0.66,0.33,2.76
Sur,E1,00:00,7630F,-0.02,0.01,0.01
Sur,E1,00:00,76313,0.07,0.04,0.05
Sur,E1,00:00,76347,0.55,0.28,2.01
Sur,E1,00:00,76348,-0.04,0.02,0.01
Sur,E1,00:00,76349,0.45,0.23,1.36
Sur,E1,00:00,7634A,0.09,0.04,0.06
Sur,E1,00:00,7634B,-0.37,0.19,0.94
Sur,E1,00:00,7634C,0.67,0.34,2.88
Sur,E1,00:00,7634D,-0.39,0.20,1.07
Sur,E1,00:00,7634E,0.15,0.07,0.17
Sur,E1,00:00,7634F,-0.07,0.04,0.04
Sur,E1,00:00,763FD,0.28,0.09,0.17
Sur,E1,00:00,763FE,0.06,0.02,0.01
Sur,E1,00:00,76553,-1.00,0.23,0.84
Sur,E1,00:00,76555,0.58,0.13,0.30
Sur,E1,00:00,76557,-4.68,1.06,14.57
